Date,Year,Quarter,Quarter (Q),Quarter & Year,Month,Month Name,Month & Year,Week of Year,Week of Year (W),Day of Week,Day Name
2016-04-07,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,15,Week 15,4,Thursday
2016-04-08,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,15,Week 15,5,Friday
2016-04-09,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,15,Week 15,6,Saturday
2016-04-10,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,15,Week 15,7,Sunday
2016-04-11,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,16,Week 16,1,Monday
2016-04-12,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,16,Week 16,2,Tuesday
2016-04-13,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,16,Week 16,3,Wednesday
2016-04-14,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,16,Week 16,4,Thursday
2016-04-15,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,16,Week 16,5,Friday
2016-04-16,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,16,Week 16,6,Saturday
2016-04-17,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,16,Week 16,7,Sunday
2016-04-18,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,17,Week 17,1,Monday
2016-04-19,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,17,Week 17,2,Tuesday
2016-04-20,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,17,Week 17,3,Wednesday
2016-04-21,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,17,Week 17,4,Thursday
2016-04-22,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,17,Week 17,5,Friday
2016-04-23,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,17,Week 17,6,Saturday
2016-04-24,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,17,Week 17,7,Sunday
2016-04-25,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,18,Week 18,1,Monday
2016-04-26,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,18,Week 18,2,Tuesday
2016-04-27,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,18,Week 18,3,Wednesday
